Date,Max Temp (°F),Min Temp (°F),Avg Temp (°F),Precipitation (in),Snowfall (in),Max Wind Speed (mph),Max Wind Gust (mph)
1950-01-02,53.6,44.8,48.6,0.043,0,13.1,23.5
1950-01-03,55.5,24.5,43.8,0.177,0,13.2,26.2
1950-01-04,24.3,9.5,14.5,0.173,1.157,17.4,34.9
1950-01-05,24.7,10.9,17.4,0,0,6.4,12.8
1950-01-06,30,17,25.9,0.15,1.047,8.2,15.7
1950-01-07,24,13.2,18.3,0,0,14,24.6
1950-01-08,31,10,21.8,0,0,18,32.4
1950-01-09,43.7,31.1,36.6,0.154,0,15.3,32.4
1950-01-10,51.3,22.9,36,0.079,0,24.2,46.1
1950-01-11,30.4,17.8,24.8,0,0,12.4,21.9
1950-01-12,40.5,29.3,35.2,0.012,0,12.4,22.4
1950-01-13,50.8,30.2,41.7,1.185,0,24.7,43.8
1950-01-14,29,14.9,22.7,0,0,23.5,45.2
1950-01-15,50.7,11.5,32.6,0.315,0.496,21.6,42.3
1950-01-16,25.4,8.7,16.5,0,0,12.1,25.1
1950-01-17,38.5,18,29.4,0.039,0.193,17.3,25.3
1950-01-18,29.5,6.8,11.3,0.02,0.138,18.1,32.4
1950-01-19,25.9,5.9,15.8,0,0,10.7,23
1950-01-20,32.4,12,21.9,0,0,9.6,19.9
1950-01-21,41.3,25.4,32.6,0,0,9.1,17.9
1950-01-22,41.6,32.8,35.6,0.008,0,7.9,15.7
1950-01-23,34.2,30.5,32.1,0.055,0.055,14.3,27.5
1950-01-24,62.2,32.3,47.2,0.169,0,22,53.2
1950-01-25,62.5,30.8,44,0.598,0,22.5,56.6
1950-01-26,28.6,11,20.8,0,0,15.2,29.5
1950-01-27,30.2,9.2,19.7,0,0,11,22.1
1950-01-28,44.1,25.9,34.2,0,0,16.6,32.4
1950-01-29,35.6,7.9,23,0.083,0.579,14.9,28.2
1950-01-30,21,5.6,14.5,0.303,2.122,15.8,29.8
1950-01-31,28.3,18.5,23.3,0.016,0.11,8,13.9
1950-02-01,29.3,12.2,23.3,0.016,0.11,10.4,20.4
1950-02-02,27.5,17.1,23.3,0.004,0.028,13.2,25.5
1950-02-03,35.6,12.9,23.5,0,0,12.5,23.5
1950-02-04,33.3,21.2,26.1,0,0,8.5,14.8
1950-02-05,40.8,26.2,35.1,0,0,13.6,25.3
1950-02-06,40.8,29.3,35.3,0.004,0,9.8,17.7
1950-02-07,37.8,29.4,33,0,0,10.3,20.6
1950-02-08,34.1,28,31.3,0.26,0.248,10.2,18.3
1950-02-09,39.3,28.2,32.7,0.02,0.138,10.4,19.5
1950-02-10,42.1,28.1,33.4,0.016,0,14.5,28.4
1950-02-11,36.1,25.9,29.4,0,0,9.2,15.9
1950-02-12,33.4,27.1,30.4,0.083,0.579,18.7,35.8
1950-02-13,32,28.7,30.5,0.929,4.933,20.8,39.8
1950-02-14,33.5,27.9,31.8,0.591,1.626,15.5,24.8
1950-02-15,29,22,26.8,0.11,0.772,12.4,24.2
1950-02-16,28.8,17,22.9,0,0,11.7,20.8
1950-02-17,33.2,13.2,23.9,0,0,9.9,17
1950-02-18,34.9,22.7,31,0.091,0.331,15.1,28.2
1950-02-19,26.1,11.1,18.5,0,0,11.2,19.7
1950-02-20,23.2,14.2,17.7,0,0,10.9,20.6
1950-02-21,33.7,24.3,28.9,0.236,1.598,15.9,30.9
1950-02-22,25.3,12.6,22.1,0.276,1.929,17,30.6
1950-02-23,31.1,7.9,20,0.165,1.157,13.1,25.5
1950-02-24,24.3,3.5,9.9,0.154,1.075,14.3,25.3
1950-02-25,14.1,-2.1,5.8,0,0,9.6,15.2
1950-02-26,20.1,0.5,8.9,0,0,10.4,18.3
1950-02-27,32,-4,14.9,0.083,0,16.3,31.8
1950-02-28,40.3,20.5,34.8,0.236,0,18,36.5
1950-03-01,22.5,8.7,16.3,0.016,0.11,22.4,43.2
1950-03-02,10.4,-1.5,3.9,0,0,14,25.7
1950-03-03,25,-3.3,12.8,0,0,8.1,15.2
1950-03-04,40.5,23.8,33.5,0,0,16.9,31.5
1950-03-05,45.3,31.8,39.6,0,0,17.8,32.2
1950-03-06,38.8,28.1,33.9,0,0,13.9,27.1
1950-03-07,56.5,38.4,46.2,0.161,0,19.4,36.9
1950-03-08,40.5,17.3,25.5,0,0,20.8,41.8
1950-03-09,29.6,11.9,21.1,0,0,12.2,23
1950-03-10,36.7,20.3,29,0.165,1.157,10.5,20.8
1950-03-11,33.1,20.6,29.2,0.169,1.185,16.1,31.1
1950-03-12,22.1,14.3,18.4,0.055,0.386,13.9,26.2
1950-03-13,27.4,14.6,19.6,0.028,0.193,11.6,22.4
1950-03-14,37.8,12.5,25.7,0,0,16.9,32.2
1950-03-15,30.8,17.1,24.9,0,0,9.4,17.7
1950-03-16,33.7,24.1,28.3,0.024,0.165,9.2,15.9
1950-03-17,38.5,25.7,34,0.098,0.22,19,34.9
1950-03-18,27.8,18.6,22.5,0,0,12.5,23.7
1950-03-19,33.8,19.8,27.3,0.083,0.551,15.1,28.9
1950-03-20,38.1,29.5,33.1,0.035,0,11.1,21
1950-03-21,43.1,32.4,37.2,0.157,0,6.6,13.6
1950-03-22,40.2,35.1,37.2,0.256,0,14.7,27.3
1950-03-23,45.7,32.4,37.4,0.067,0,11.9,22.4
1950-03-24,44.3,33,38.7,0.083,0,18.3,36
