Date,Max Temp (°F),Min Temp (°F),Avg Temp (°F),Precipitation (in),Snowfall (in),Max Wind Speed (mph),Max Wind Gust (mph)
1940-01-01,26.7,17.7,21.8,,0,14.5,29.1
1940-01-02,30.0,18.8,24.1,,0,14.3,26.6
1940-01-03,34.3,20.7,26.1,,0,9,20.1
1940-01-04,35.0,21.9,28.1,,0,13.3,25.9
1940-01-05,28.8,16.1,20.8,,0,16,31.1
1940-01-06,33.5,16.1,24.6,,0,7.2,15
1940-01-07,40.8,29.1,36.7,0.033,0,12.1,22.8
1940-01-08,45.3,38.0,41.2,0.004,0,9.6,18.8
1940-01-09,42.0,36.1,39.2,0.004,0,8.6,21.5
1940-01-10,46.0,37.5,41.9,0.009,0,8.8,14.1
1940-01-11,51.0,44.5,47.6,0.050,0,9.7,18.8
1940-01-12,46.2,36.9,41.6,,0,10.1,17.4
1940-01-13,47.3,34.5,43.0,0.104,0,12.5,22.4
1940-01-14,49.4,41.5,45.3,0.261,0,23.2,43.8
1940-01-15,41.2,12.9,26.4,,0,18.9,37.1
1940-01-16,24.8,8.8,16.6,0.012,0,11.7,22.4
1940-01-17,19.2,7.2,14.5,0.013,0,12.1,23
1940-01-18,8.4,-1.5,3.6,,0,13.7,25.9
1940-01-19,20.1,-1.8,9.7,,0,11.3,23.7
1940-01-20,28.2,19.0,23.1,,0,14.2,27.1
1940-01-21,35.2,17.8,24.8,0.001,0,13.9,24.6
1940-01-22,36.4,21.2,27.2,,0,11.3,20.8
1940-01-23,37.6,15.0,26.6,0.002,0,5.1,12.5
1940-01-24,28.9,15.1,23.6,,0,15,30.9
1940-01-25,22.2,11.1,15.1,,0,12,25.1
1940-01-26,21.8,6.6,13.8,,0,10.1,20.1
1940-01-27,27.9,10.2,17.7,,0,10.7,18.1
1940-01-28,33.6,8.5,22.6,0.004,0,9.5,17
1940-01-29,41.7,32.1,35.6,0.019,0,8.7,17.9
1940-01-30,44.1,38.5,41.5,0.011,0,10.7,20.6
1940-01-31,43.4,36.7,39.3,,0,13.7,25.9
1940-02-01,45.7,34.7,40.6,0.004,0,14.9,18.3
1940-02-02,35.2,21.9,28.2,,0,14.2,26.6
1940-02-03,41.8,20.6,31.2,,0,9.6,17.4
1940-02-04,45.4,34.4,40.6,0.025,0,9.3,15
1940-02-05,46.2,33.4,40.7,,0,5.8,11.6
1940-02-06,46.8,39.0,42.3,,0,10.6,20.4
1940-02-07,44.4,38.4,40.9,,0,9.6,16.8
1940-02-08,45.2,35.4,40.6,0.099,0,15.3,30.4
1940-02-09,34.7,29.8,31.9,0.019,0,15.5,30.4
1940-02-10,42.8,23.7,32.5,,0,9.8,15.9
1940-02-11,45.3,22.4,34.3,,0,13.9,18.1
1940-02-12,47.5,36.6,44.0,,0,17.7,33.6
1940-02-13,36.4,23.1,30.7,,0,9.9,19.7
1940-02-14,39.8,19.2,28.3,,0,8,13.4
1940-02-15,43.6,18.3,32.9,,0,10.8,20.6
1940-02-16,45.5,37.3,41.0,,0,10.5,19.5
