Date,Max Temp (°F),Min Temp (°F),Avg Temp (°F),Precipitation (in),Snowfall (in),Max Wind Speed (mph),Max Wind Gust (mph)
1940-01-01,46.7,37.7,41.8,,0,14.5,29.1
1940-01-02,50.0,38.8,44.1,,0,14.3,26.6
1940-01-03,54.3,40.7,46.1,,0,9,20.1
1940-01-04,55.0,41.9,48.1,,0,13.3,25.9
1940-01-05,48.8,36.1,40.8,,0,16,31.1
1940-01-06,53.5,36.1,44.6,,0,7.2,15
1940-01-07,60.8,49.1,56.7,0.022,0,12.1,22.8
1940-01-08,65.3,58.0,61.2,0.002,0,9.6,18.8
1940-01-09,62.0,56.1,59.2,0.002,0,8.6,21.5
1940-01-10,66.0,57.5,61.9,0.006,0,8.8,14.1
1940-01-11,71.0,64.5,67.6,0.033,0,9.7,18.8
1940-01-12,66.2,56.9,61.6,,0,10.1,17.4
1940-01-13,67.3,54.5,63.0,0.069,0,12.5,22.4
1940-01-14,69.4,61.5,65.3,0.174,0,23.2,43.8
1940-01-15,61.2,32.9,46.4,,0,18.9,37.1
1940-01-16,44.8,28.8,36.6,0.008,0,11.7,22.4
1940-01-17,39.2,27.2,34.5,0.009,0,12.1,23
1940-01-18,28.4,18.5,23.6,,0,13.7,25.9
1940-01-19,40.1,18.2,29.7,,0,11.3,23.7
1940-01-20,48.2,39.0,43.1,,0,14.2,27.1
1940-01-21,55.2,37.8,44.8,0.001,0,13.9,24.6
1940-01-22,56.4,41.2,47.2,,0,11.3,20.8
1940-01-23,57.6,35.0,46.6,0.002,0,5.1,12.5
1940-01-24,48.9,35.1,43.6,,0,15,30.9
1940-01-25,42.2,31.1,35.1,,0,12,25.1
1940-01-26,41.8,26.6,33.8,,0,10.1,20.1
1940-01-27,47.9,30.2,37.7,,0,10.7,18.1
1940-01-28,53.6,28.5,42.6,0.002,0,9.5,17
1940-01-29,61.7,52.1,55.6,0.013,0,8.7,17.9
1940-01-30,64.1,58.5,61.5,0.007,0,10.7,20.6
1940-01-31,63.4,56.7,59.3,,0,13.7,25.9
1940-02-01,65.7,54.7,60.6,0.002,0,14.9,18.3
1940-02-02,55.2,41.9,48.2,,0,14.2,26.6
1940-02-03,61.8,40.6,51.2,,0,9.6,17.4
1940-02-04,65.4,54.4,60.6,0.017,0,9.3,15
1940-02-05,66.2,53.4,60.7,,0,5.8,11.6
1940-02-06,66.8,59.0,62.3,,0,10.6,20.4
1940-02-07,64.4,58.4,60.9,,0,9.6,16.8
1940-02-08,65.2,55.4,60.6,0.066,0,15.3,30.4
1940-02-09,54.7,49.8,51.9,0.013,0,15.5,30.4
1940-02-10,62.8,43.7,52.5,,0,9.8,15.9
1940-02-11,65.3,42.4,54.3,,0,13.9,18.1
1940-02-12,67.5,56.6,64.0,,0,17.7,33.6
1940-02-13,56.4,43.1,50.7,,0,9.9,19.7
1940-02-14,59.8,39.2,48.3,,0,8,13.4
1940-02-15,63.6,38.3,52.9,,0,10.8,20.6
1940-02-16,65.5,57.3,61.0,,0,10.5,19.5
1940-02-17,65.5,53.6,60.1,,0,13.6,23.3
1940-02-18,67.0,61.1,64.1,0.085,0,19.9,39.6
1940-02-19,67.6,63.7,65.9,0.081,0,20.1,39.4
1940-02-20,64.4,53.2,59.8,0.001,0,19.4,37.1
1940-02-21,57.7,50.2,53.6,,0,11.7,20.4
1940-02-22,63.2,50.3,56.7,,0,13,25.3
1940-02-23,64.6,39.5,52.5,0.065,0,14.2,23.3
1940-02-24,66.0,42.9,54.8,0.019,0,14.7,29.5
1940-02-25,48.9,32.9,40.2,,0,10.9,18.6
1940-02-26,64.3,38.2,52.4,0.001,0,9.8,18.8
1940-02-27,72.3,65.0,68.2,0.006,0,7.4,15.2
1940-02-28,65.0,56.2,61.7,0.010,0,8.3,17
1940-02-29,68.0,48.9,59.3,,0,8.8,17.2
1940-03-01,67.7,59.0,64.1,,0,12.5,24.8
1940-03-02,68.8,61.8,64.9,0.060,0,16.8,31.3
1940-03-03,69.0,67.1,67.9,0.023,0,16.9,31.3
1940-03-04,74.5,62.0,67.4,0.002,0,11.2,19.5
1940-03-05,70.0,61.2,66.5,,0,7.1,11
1940-03-06,66.5,55.0,60.4,,0,8.6,17
1940-03-07,64.2,47.3,55.8,,0,9.9,20.1
1940-03-08,59.8,48.2,54.6,,0,11.9,24.6
1940-03-09,60.9,41.9,51.6,,0,8.1,12.5
1940-03-10,56.3,43.8,49.2,,0,10,20.8
1940-03-11,53.0,41.1,47.2,,0,14.1,27.3
1940-03-12,59.3,50.7,55.0,0.050,0,17,30.2
1940-03-13,69.4,56.7,61.8,0.082,0,18.2,32.4
1940-03-14,59.5,51.0,54.5,0.006,0,20.5,38.5
1940-03-15,63.0,47.0,55.7,,0,12.5,25.1
1940-03-16,69.5,53.7,61.6,,0,9.9,20.8
1940-03-17,79.5,52.6,65.4,,0,7.4,11.4
1940-03-18,74.5,63.3,67.2,,0,11.5,19.2
1940-03-19,72.3,58.4,65.5,,0,11.6,24.8
1940-03-20,68.6,56.0,62.8,0.009,0,15,35.8
1940-03-21,67.1,50.9,58.6,0.015,0,10.8,17.9
1940-03-22,59.0,41.2,48.9,,0,12.3,22.8
1940-03-23,54.5,37.7,45.4,,0,14.4,27.7
1940-03-24,53.6,37.4,44.8,,0,8.2,14.8
1940-03-25,57.9,33.5,45.3,,0,7.3,16.6
1940-03-26,66.2,40.9,55.8,0.020,0,9.7,15.4
1940-03-27,68.3,63.2,65.4,0.025,0,11.2,22.4
1940-03-28,82.6,66.1,72.7,0.045,0,14.9,29.1
1940-03-29,90.1,72.6,83.3,0.043,0,26.1,51.2
1940-03-30,97.4,67.1,81.2,0.002,0,8.6,20.6
1940-03-31,89.3,66.3,76.6,0.006,0,9.1,23
1940-04-01,73.2,63.5,67.5,,0,13,27.7
1940-04-02,82.3,64.4,71.7,0.086,0,15.3,29.3
1940-04-03,106.1,74.9,87.7,0.085,0,18.8,36.9
1940-04-04,80.2,68.0,75.5,0.002,0,18.2,36.9
1940-04-05,76.1,61.8,67.3,0.003,0,13.4,27.5
1940-04-06,80.5,59.1,70.1,,0,9,15.7
1940-04-07,78.8,69.3,73.3,0.092,0,14,27.7
1940-04-08,78.7,69.6,75.0,0.015,0,12.3,26.6
1940-04-09,84.9,65.3,74.7,,0,8.5,14.8
1940-04-10,91.4,63.0,79.1,0.020,0,16.4,32
1940-04-11,82.2,56.2,67.8,0.017,0,18.3,34.9
1940-04-12,67.7,53.7,60.9,,0,14.7,29.8
1940-04-13,69.8,58.7,62.5,,0,14,28.6
1940-04-14,81.7,58.8,69.2,,0,7.7,18.1
1940-04-15,93.6,67.5,75.4,0.034,0,12.1,27.3
1940-04-16,78.4,65.7,71.2,,0,14,30.2
1940-04-17,70.3,66.4,68.3,0.127,0,19.1,39.4
1940-04-18,80.9,64.5,71.1,0.011,0,15.7,28
1940-04-19,80.8,61.7,72.1,,0,14.7,30.9
1940-04-20,83.5,66.6,73.7,,0,16,32.9
1940-04-21,84.0,65.3,73.7,,0,9.3,19.9
1940-04-22,81.8,66.6,73.7,,0,9.7,21.7
1940-04-23,76.2,68.0,71.9,0.045,0,9.9,21.5
1940-04-24,81.7,68.4,73.2,0.008,0,7.1,17.7
1940-04-25,79.9,67.2,72.0,,0,11.4,24.8
