Date,Max Temp (°F),Min Temp (°F),Avg Temp (°F),Precipitation (in),Snowfall (in),Max Wind Speed (mph),Max Wind Gust (mph)
1950-01-02,45.5,39,42.9,0.154,0,17.7,28.9
1950-01-03,42.8,36.3,39.2,0,0,13,21.5
1950-01-04,46.4,34.1,40.1,0.051,0,9.2,15.9
1950-01-05,48.6,36,40.9,0,0,6.5,10.7
1950-01-06,51.1,38.1,43.9,0,0,7,11.6
1950-01-07,49.8,36.8,44.8,0.094,0,18.6,27.3
1950-01-08,47.7,40.6,44.2,0.969,0,20.8,34.9
1950-01-09,47.9,37.2,43.4,0.047,0,13.6,23
1950-01-10,50.2,43.9,47.1,1.382,0,26.2,43.4
1950-01-11,46.3,40.8,43.7,0.193,0,9.2,15.4
1950-01-12,46.7,37.7,41.9,0.11,0,11.4,19.9
1950-01-13,47,38.5,43.6,0.154,0,29.3,43.4
1950-01-14,49.3,40.7,45.3,0.614,0,30.3,47.2
1950-01-15,45.9,37.7,42.2,0,0,9.7,15.2
1950-01-16,52.6,42.6,47.8,2.472,0,18.6,28.9
1950-01-17,54.2,52,53,1.197,0,9.6,15
1950-01-18,56.3,51.3,53.4,0.047,0,7.1,10.7
1950-01-19,59.7,49.6,54.2,0,0,6.9,8.5
1950-01-20,59.7,49.8,54.9,0.004,0,5,11
1950-01-21,61,48.1,54.9,0.016,0,5.1,7.2
1950-01-22,58.8,51.6,55.5,0,0,7.9,10.1
1950-01-23,53.8,46.4,50.6,0.114,0,16.3,23.7
1950-01-24,45.7,39.2,42.8,0.028,0,19.8,32.9
1950-01-25,45.3,37.5,40.8,0,0,14.2,20.8
1950-01-26,48.4,35.7,42,0,0,8.5,13
1950-01-27,48.6,38.1,44.1,0.551,0,17.9,29.1
1950-01-28,50.5,43.8,47.4,0.157,0,18.2,27.1
1950-01-29,49.9,40.6,44.6,0,0,15.5,25.1
1950-01-30,48.9,42,44.3,0.031,0,12.3,23.5
1950-01-31,45.6,36.2,41.2,0.004,0,9.5,16.1
1950-02-01,51.1,36.2,42.7,0,0,8.2,12.3
1950-02-02,55.2,38.3,45.4,0,0,8.1,13.2
1950-02-03,55.7,41.8,50.2,0,0,18.6,29.5
1950-02-04,54.7,48.6,51.8,1.614,0,22.7,39.1
1950-02-05,57,51.2,53.6,0.945,0,24.7,38.3
1950-02-06,52.9,46.2,50.6,0.161,0,21.8,33.3
1950-02-07,53.7,39.8,48,0,0,9.1,14.5
1950-02-08,54.9,41.4,48,0,0,10.4,17.4
1950-02-09,52.5,42.3,47.5,0.035,0,8.1,12.1
1950-02-10,52.9,46.8,49.6,0.744,0,16,25.3
1950-02-11,54.7,44.5,48.8,0,0,17.8,26.4
1950-02-12,57.9,43.8,50.2,0,0,10.8,16.8
1950-02-13,59.4,43.6,51.6,0,0,11.1,13.9
1950-02-14,60.4,47.1,52.8,0,0,9.2,12.5
1950-02-15,60.3,46.1,52.6,0,0,10,12.5
1950-02-16,57.8,48.2,52.3,0.004,0,9.6,12.3
1950-02-17,60.5,49.6,53.7,0,0,11.6,15.4
1950-02-18,59.3,48.2,53.1,0,0,8.1,13.9
1950-02-19,57.5,47.1,51.7,0,0,14.8,20.8
1950-02-20,58.9,45.9,51.2,0,0,13.5,19.5
1950-02-21,59.9,46.6,52.5,0,0,12,15.9
1950-02-22,57.7,47.1,51.6,0,0,12.1,16.1
1950-02-23,60.4,46.6,52.7,0,0,12.9,17.4
1950-02-24,60.1,51.1,54.6,0,0,11.8,15
1950-02-25,64.8,49.8,56.9,0,0,10,11.2
1950-02-26,56.4,49.4,53,0,0,11.7,15.2
1950-02-27,57.1,46.2,51.8,0,0,7.8,9.4
1950-02-28,62.5,44,53.4,0,0,10.6,14.3
1950-03-01,59.4,47.7,53,0,0,13.1,15.7
1950-03-02,57.2,48.1,51.7,0,0,12.3,18.1
1950-03-03,60.6,48.4,53.8,0,0,12.9,17.2
1950-03-04,62.2,48.9,54.2,0,0,11.5,17.7
1950-03-05,53.4,46.3,50.6,0.039,0,16.3,21.5
1950-03-06,57.6,41.9,49.5,0,0,13.1,19.9
1950-03-07,61.4,44.9,52.5,0,0,7.9,11.9
1950-03-08,56,48.2,51.4,0,0,11.9,16.6
1950-03-09,53.6,44.8,48.8,0.024,0,11.6,17.4
1950-03-10,53.7,45,48.7,0,0,14.1,22.1
1950-03-11,52.8,43.3,47.7,0.138,0,19.4,27.3
1950-03-12,57.8,40.5,49,0,0,11.1,17.9
1950-03-13,58.3,44.9,51.2,0,0,11.6,16.8
1950-03-14,54.7,47.1,50.3,0.024,0,13.6,20.4
1950-03-15,55,45.8,50,0,0,10.8,14.1
1950-03-16,58.8,43.5,51.8,0,0,8.4,12.8
1950-03-17,59.9,48.3,53.5,0.035,0,11.3,17.9
1950-03-18,57.8,45.9,51.5,0.146,0,8.4,11.4
1950-03-19,57.4,50.8,53.5,0.146,0,9.7,13.4
1950-03-20,57.4,47.5,52.3,0,0,7.4,12.8
1950-03-21,59.5,47.8,53.9,0,0,10.5,14.3
1950-03-22,56.9,47.7,52.6,0.157,0,12.4,23
1950-03-23,53.8,44.3,49.7,0.469,0,15.4,26.8
1950-03-24,52.8,43.3,50,1.094,0,22.8,32.2
1950-03-25,51.6,43,46.7,0.091,0,18.7,28.6
1950-03-26,52.5,46.6,49.2,0.083,0,8.4,15
1950-03-27,56.1,47.9,51.1,0.004,0,14.7,23
1950-03-28,63.4,44.5,53.6,0,0,12.9,18.8
1950-03-29,69.6,46.8,58.1,0,0,8.6,12.3
1950-03-30,69.2,53.8,61,0,0,8.6,11
1950-03-31,64.6,51.2,57.7,0,0,8.2,11.6
1950-04-01,63.4,48.2,56.8,0,0,12.2,16.6
1950-04-02,62.5,52.2,57.3,0,0,15.2,21.7
1950-04-03,64.1,49.8,55.9,0,0,15.3,22.4
1950-04-04,62.3,46.9,53.9,0,0,11.3,16.8
1950-04-05,57.8,48.6,52.6,0,0,9,16.6
1950-04-06,53.6,49.1,51,0.22,0,9.6,20.6
1950-04-07,52.4,47.1,49.4,0.638,0,18.1,28.9
1950-04-08,52,45.2,47.5,0.642,0,12.7,22.1
1950-04-09,53,44.9,49,0.004,0,11.5,17.2
1950-04-10,58.4,42.9,51.2,0,0,11.5,15.7
1950-04-11,61.6,45.8,53.6,0,0,12,17.9
1950-04-12,60.6,46.7,54.5,0.031,0,12.3,17.4
1950-04-13,56.2,47.4,51.7,0,0,15.6,23.3
1950-04-14,58.7,45.3,51.6,0,0,15.8,22.8
1950-04-15,63.5,47.5,55.5,0,0,11.6,15.4
1950-04-16,67.8,49.3,59,0,0,13.1,17.7
1950-04-17,69,52.5,60.1,0,0,13,17.2
1950-04-18,72.1,52.3,62.9,0,0,10.9,13.2
1950-04-19,70.5,58.2,63,0,0,8.3,10.1
1950-04-20,66.5,53.7,60.3,0,0,9.6,12.3
1950-04-21,60.4,51.1,55.2,0,0,12.1,16.3
1950-04-22,58.4,48.9,52.7,0,0,16,21.9
1950-04-23,62.8,48.8,54.8,0,0,11.6,15.9
1950-04-24,63.4,47.9,55.8,0,0,11.2,15.2
1950-04-25,62.4,47.5,55.3,0,0,11.2,15
1950-04-26,63.3,49,55.5,0,0,13.6,20.1
1950-04-27,61,49.3,54.3,0,0,17,25.5
1950-04-28,62.5,47.5,54.8,0,0,14.5,20.1
1950-04-29,61.2,44,54.4,0,0,11.6,15.9
1950-04-30,57,47.1,52.3,0,0,13,19.2
1950-05-01,54.9,47,50.8,0.366,0,13.4,21.3
1950-05-02,53.2,45.9,48.7,0.134,0,15,26.4
1950-05-03,52.2,44.7,48.3,0.02,0,16.5,25.9
1950-05-04,57.1,46.1,51.1,0,0,17.3,25.7
1950-05-05,59,48.2,52.8,0,0,14.7,23.7
1950-05-06,58.9,46.4,51.5,0,0,18.5,27.5
1950-05-07,59.6,45.8,52.9,0,0,16.1,23.3
1950-05-08,58.4,46.3,52.5,0,0,13.7,18.8
1950-05-09,65.5,46.9,56,0,0,12.8,16.8
1950-05-10,68.6,48.2,59.9,0,0,11.7,15
1950-05-11,65.7,52.5,58.4,0,0,11.7,15.9
1950-05-12,61.9,49.9,55.8,0,0,12.3,17
1950-05-13,57.6,50.8,53.7,0,0,14,17
1950-05-14,57.6,50.2,53.2,0.031,0,11.9,15.7
1950-05-15,59.1,49.6,53.5,0,0,10.9,15.4
1950-05-16,59.8,47.1,53.3,0,0,12.2,15.7
1950-05-17,57.9,49.8,53.3,0,0,15.4,22.4
1950-05-18,64.3,48.4,55.5,0,0,14.8,20.6
1950-05-19,66.2,47.7,57.3,0,0,11.7,15.2
1950-05-20,67.2,51.1,60,0,0,10.6,14.5
1950-05-21,65,50.6,57.6,0,0,11.7,18.6
1950-05-22,58.8,50.4,54.3,0.02,0,11.6,17.4
1950-05-23,59.3,51.2,54.6,0.055,0,11.2,15.2
1950-05-24,61.4,49.4,55.4,0,0,11.4,17
1950-05-25,63.6,47.7,56.5,0,0,11.5,15.9
1950-05-26,66.2,51.7,59.3,0,0,11.1,14.8
1950-05-27,65.7,50.1,57.6,0,0,14.9,21.9
1950-05-28,69.1,50.9,59.7,0,0,12.3,16.6
1950-05-29,74,54.3,62.8,0,0,11.5,17
1950-05-30,68.1,54.4,62.1,0,0,8.7,12.1
1950-05-31,64.9,52.4,59.2,0,0,10.5,15.4
1950-06-01,64.9,51.6,58.2,0,0,10.3,14.1
1950-06-02,63.4,52.3,57.5,0,0,11.2,15.9
