Date,Max Temp (°F),Min Temp (°F),Avg Temp (°F),Precipitation (in),Snowfall (in),Max Wind Speed (mph),Max Wind Gust (mph)
1940-01-01,11.7,2.7,6.8,,,14.5,29.1
1940-01-02,15,3.8,9.1,0,0,14.3,26.6
1940-01-03,19.3,5.7,11.1,0,0,9,20.1
1940-01-04,20,6.9,13.1,0,0,13.3,25.9
1940-01-05,13.8,1.1,5.8,0,0,16,31.1
1940-01-06,18.5,1.1,9.6,0,0,7.2,15
1940-01-07,25.8,14.1,21.7,0.11,0.772,12.1,22.8
1940-01-08,30.3,23,26.2,0.012,0.083,9.6,18.8
1940-01-09,27,21.1,24.2,0.012,0.083,8.6,21.5
1940-01-10,31,22.5,26.9,0.031,0.193,8.8,14.1
1940-01-11,36,29.5,32.6,0.165,1.075,9.7,18.8
1940-01-12,31.2,21.9,26.6,0,0,10.1,17.4
1940-01-13,32.3,19.5,28,0.346,2.425,12.5,22.4
1940-01-14,34.4,26.5,30.3,0.87,3.858,23.2,43.8
1940-01-15,26.2,-2.1,11.4,0,0,18.9,37.1
1940-01-16,9.8,-6.2,1.6,0.039,0.276,11.7,22.4
1940-01-17,4.2,-7.8,-0.5,0.043,0.303,12.1,23
1940-01-18,-6.6,-16.5,-11.4,0,0,13.7,25.9
1940-01-19,5.1,-16.8,-5.3,0,0,11.3,23.7
1940-01-20,13.2,4,8.1,0,0,14.2,27.1
1940-01-21,20.2,2.8,9.8,0.004,0.028,13.9,24.6
1940-01-22,21.4,6.2,12.2,0,0,11.3,20.8
1940-01-23,22.6,0,11.6,0.008,0.055,5.1,12.5
1940-01-24,13.9,0.1,8.6,0,0,15,30.9
1940-01-25,7.2,-3.9,0.1,0,0,12,25.1
1940-01-26,6.8,-8.4,-1.2,0,0,10.1,20.1
1940-01-27,12.9,-4.8,2.7,0,0,10.7,18.1
1940-01-28,18.6,-6.5,7.6,0.012,0.083,9.5,17
1940-01-29,26.7,17.1,20.6,0.063,0.441,8.7,17.9
1940-01-30,29.1,23.5,26.5,0.035,0.248,10.7,20.6
1940-01-31,28.4,21.7,24.3,0,0,13.7,25.9
1940-02-01,30.7,19.7,25.6,0.012,0.083,14.9,18.3
1940-02-02,20.2,6.9,13.2,0,0,14.2,26.6
1940-02-03,26.8,5.6,16.2,0,0,9.6,17.4
1940-02-04,30.4,19.4,25.6,0.083,0.579,9.3,15
1940-02-05,31.2,18.4,25.7,0,0,5.8,11.6
1940-02-06,31.8,24,27.3,0,0,10.6,20.4
1940-02-07,29.4,23.4,25.9,0,0,9.6,16.8
1940-02-08,30.2,20.4,25.6,0.331,2.315,15.3,30.4
1940-02-09,19.7,14.8,16.9,0.063,0.441,15.5,30.4
1940-02-10,27.8,8.7,17.5,0,0,9.8,15.9
1940-02-11,30.3,7.4,19.3,0,0,13.9,18.1
1940-02-12,32.5,21.6,29,0,0,17.7,33.6
