Date,Max Temp (°F),Min Temp (°F),Avg Temp (°F),Precipitation (in),Snowfall (in),Max Wind Speed (mph),Max Wind Gust (mph)
1940-01-01,9.7,0.7,4.8,,0,14.5,29.1
1940-01-02,13.0,1.8,7.1,,0,14.3,26.6
1940-01-03,17.3,3.7,9.1,,0,9,20.1
1940-01-04,18.0,4.9,11.1,,0,13.3,25.9
1940-01-05,11.8,-0.9,3.8,,0,16,31.1
1940-01-06,16.5,-0.9,7.6,,0,7.2,15
1940-01-07,23.8,12.1,19.7,0.088,1.544,12.1,22.8
1940-01-08,28.3,21.0,24.2,0.010,0.166,9.6,18.8
1940-01-09,25.0,19.1,22.2,0.010,0.166,8.6,21.5
1940-01-10,29.0,20.5,24.9,0.025,0.386,8.8,14.1
1940-01-11,34.0,27.5,30.6,0.132,2.150,9.7,18.8
1940-01-12,29.2,19.9,24.6,,0,10.1,17.4
1940-01-13,30.3,17.5,26.0,0.277,4.850,12.5,22.4
1940-01-14,32.4,24.5,28.3,0.696,7.716,23.2,43.8
1940-01-15,24.2,-4.1,9.4,,0,18.9,37.1
1940-01-16,7.8,-8.2,-0.4,0.031,0.552,11.7,22.4
1940-01-17,2.2,-9.8,-2.5,0.034,0.606,12.1,23
1940-01-18,-8.6,-18.5,-13.4,,0,13.7,25.9
1940-01-19,3.1,-18.8,-7.3,,0,11.3,23.7
1940-01-20,11.2,2.0,6.1,,0,14.2,27.1
1940-01-21,18.2,0.8,7.8,0.003,0.056,13.9,24.6
1940-01-22,19.4,4.2,10.2,,0,11.3,20.8
1940-01-23,20.6,-2.0,9.6,0.006,0.110,5.1,12.5
1940-01-24,11.9,-1.9,6.6,,0,15,30.9
1940-01-25,5.2,-5.9,-1.9,,0,12,25.1
1940-01-26,4.8,-10.4,-3.2,,0,10.1,20.1
1940-01-27,10.9,-6.8,0.7,,0,10.7,18.1
1940-01-28,16.6,-8.5,5.6,0.010,0.166,9.5,17
1940-01-29,24.7,15.1,18.6,0.050,0.882,8.7,17.9
1940-01-30,27.1,21.5,24.5,0.028,0.496,10.7,20.6
1940-01-31,26.4,19.7,22.3,,0,13.7,25.9
1940-02-01,28.7,17.7,23.6,0.010,0.166,14.9,18.3
1940-02-02,18.2,4.9,11.2,,0,14.2,26.6
1940-02-03,24.8,3.6,14.2,,0,9.6,17.4
1940-02-04,28.4,17.4,23.6,0.066,1.158,9.3,15
1940-02-05,29.2,16.4,23.7,,0,5.8,11.6
1940-02-06,29.8,22.0,25.3,,0,10.6,20.4
1940-02-07,27.4,21.4,23.9,,0,9.6,16.8
1940-02-08,28.2,18.4,23.6,0.265,4.630,15.3,30.4
1940-02-09,17.7,12.8,14.9,0.050,0.882,15.5,30.4
1940-02-10,25.8,6.7,15.5,,0,9.8,15.9
1940-02-11,28.3,5.4,17.3,,0,13.9,18.1
1940-02-12,30.5,19.6,27.0,,0,17.7,33.6
1940-02-13,19.4,6.1,13.7,,0,9.9,19.7
1940-02-14,22.8,2.2,11.3,,0,8,13.4
1940-02-15,26.6,1.3,15.9,,0,10.8,20.6
1940-02-16,28.5,20.3,24.0,,0,10.5,19.5
1940-02-17,28.5,16.6,23.1,,0,13.6,23.3
1940-02-18,30.0,24.1,27.1,0.340,5.952,19.9,39.6
1940-02-19,30.6,26.7,28.9,0.325,5.678,20.1,39.4
1940-02-20,27.4,16.2,22.8,0.003,0.056,19.4,37.1
1940-02-21,20.7,13.2,16.6,,0,11.7,20.4
1940-02-22,26.2,13.3,19.7,,0,13,25.3
1940-02-23,27.6,2.5,15.5,0.258,4.520,14.2,23.3
1940-02-24,29.0,5.9,17.8,0.075,1.322,14.7,29.5
1940-02-25,11.9,-4.1,3.2,,0,10.9,18.6
1940-02-26,27.3,1.2,15.4,0.003,0.056,9.8,18.8
