Date,Max Temp (°F),Min Temp (°F),Avg Temp (°F),Precipitation (in),Snowfall (in),Max Wind Speed (mph),Max Wind Gust (mph)
1950-01-02,50.6,39.6,46.4,0.008,0,14.1,28.9
1950-01-03,50.2,33.8,40,0,0,8.1,20.1
1950-01-04,49.5,30,38.8,0,0,4.9,10.1
1950-01-05,55.7,30.3,40.5,0,0,6.5,13.6
1950-01-06,59.3,31.5,41.8,0,0,7.2,13
1950-01-07,58.1,31.1,43.1,0,0,6.1,11.9
1950-01-08,46,37.8,42.9,1.035,0,12.3,20.1
1950-01-09,52,33.4,41.6,0,0,5.7,10.7
1950-01-10,53.2,30.6,40.7,0,0,5.5,13.2
1950-01-11,43.7,34.5,40.7,0.807,0,8.4,19.5
1950-01-12,46.1,33.8,39.7,0.126,0,5,17
1950-01-13,48.7,29.5,38.7,0,0,6.9,14.1
1950-01-14,44.6,32.6,39.2,0.201,0,5.4,12.1
1950-01-15,54.6,30.6,41,0,0,4.7,9.8
1950-01-16,57,32.7,44.1,0,0,4.5,11.4
1950-01-17,63,38.9,49.2,0.004,0,6.5,11.9
1950-01-18,64.3,44.5,53.4,0,0,4.9,10.3
1950-01-19,72,48.9,57.4,0,0,5.5,9.4
1950-01-20,74.8,48.8,58.7,0,0,5.6,10.3
1950-01-21,74.8,48.5,59.2,0,0,5.4,12.3
1950-01-22,73.8,49.6,59.4,0,0,5.5,13.2
1950-01-23,66.7,48.5,56.4,0.004,0,7.5,12.8
1950-01-24,55.6,40.1,48.4,0.004,0,15.5,30.4
1950-01-25,52.5,33.1,41.5,0,0,7.2,16.8
1950-01-26,61.3,31.3,43.9,0,0,5.8,10.7
1950-01-27,58.1,31.9,44.5,0,0,4.6,8.9
1950-01-28,49,36.1,43.5,0.232,0,7.8,16.6
1950-01-29,55,42.5,49,0.154,0,7,15.4
1950-01-30,56.4,37.2,45.7,0.004,0,5.9,12.1
1950-01-31,55.1,33.4,43.1,0,0,5.6,14.3
1950-02-01,59.5,33.4,44.9,0,0,5.9,12.8
1950-02-02,64.9,37.6,49.6,0,0,6.3,13.4
1950-02-03,69.1,41.3,53.9,0,0,5.5,11.2
1950-02-04,62.8,48.3,54.8,0.169,0,6.1,13.2
1950-02-05,58.6,50.3,54.1,0.697,0,6.7,18.1
1950-02-06,59.3,52.8,55.5,1.224,0,6.6,18.6
1950-02-07,62.2,44.6,54.1,0.016,0,6.5,12.5
1950-02-08,65.8,40.2,51.7,0,0,5.9,10.7
1950-02-09,66.5,42,53.2,0,0,5.8,10.5
1950-02-10,53.1,46.4,49.7,0.173,0,5.4,14.3
1950-02-11,62.7,43.9,52.2,0,0,10.4,24.2
1950-02-12,66.9,39.4,51.2,0,0,6.4,13.2
1950-02-13,70.7,41.1,54,0,0,5.9,11.4
1950-02-14,72.1,42.4,55.7,0,0,6,10.7
1950-02-15,76.5,45.8,58.7,0,0,5.4,10.7
1950-02-16,73.2,45,57.7,0,0,5.9,12.5
1950-02-17,71.4,45.7,56.8,0,0,6.6,13.9
1950-02-18,71.6,44.7,57.7,0,0,5.7,12.1
1950-02-19,66.9,46.9,55.4,0.004,0,6,12.3
1950-02-20,63,46.3,52.4,0.004,0,6.9,13.6
1950-02-21,68.1,41.5,53.6,0,0,7.8,16.1
1950-02-22,71.2,45.3,56.8,0,0,7.4,14.8
1950-02-23,65.6,44.2,54,0,0,6.2,13.9
1950-02-24,71.1,42.7,56.1,0,0,6.1,14.8
1950-02-25,74.5,45.9,58.9,0,0,6.3,14.1
1950-02-26,61.2,47.3,54.2,0,0,7.7,15
1950-02-27,64.8,46.5,54.2,0.004,0,6,14.3
1950-02-28,70.5,43.2,56.4,0,0,10,21.7
1950-03-01,63.7,50.5,56.6,0.004,0,5.9,10.7
1950-03-02,65.8,47.8,54.7,0,0,7.9,17.4
1950-03-03,73.8,43.1,57,0,0,6.8,15.4
1950-03-04,78.6,48.2,62.2,0,0,7.7,15.7
1950-03-05,67,47.7,56.9,0,0,8,18.8
1950-03-06,74,44.6,56.8,0,0,6.3,20.4
1950-03-07,75.6,44.6,59.2,0,0,7.4,16.8
1950-03-08,68.3,46.4,56.6,0,0,7.1,16.3
1950-03-09,64.9,47.5,55,0,0,7.7,16.6
1950-03-10,64.1,41.5,52.5,0.004,0,8.9,18.3
1950-03-11,63.2,42.3,51.9,0.004,0,12.7,29.8
1950-03-12,69.4,38.3,53.4,0,0,7.6,16.1
1950-03-13,71,39.2,54.7,0,0,10,20.1
1950-03-14,63.7,39.2,52.2,0,0,9.6,20.8
1950-03-15,64.4,45.1,53,0,0,10.6,20.6
1950-03-16,74.7,41.1,57.8,0,0,10.5,22.1
1950-03-17,73.5,45.1,59,0,0,7.8,19.2
1950-03-18,78.9,46.2,62.5,0,0,10.9,22.6
1950-03-19,78,49.3,63.2,0,0,8.3,17.7
1950-03-20,79.7,48.8,64.6,0,0,9.2,21.3
1950-03-21,82.1,51.2,65.8,0,0,8.6,18.8
1950-03-22,73.4,53.3,62.1,0,0,9.7,23
1950-03-23,71.8,45.3,58.2,0,0,9.5,20.1
1950-03-24,61.7,45,52.9,0.61,0,14,26.4
1950-03-25,57.9,42.2,49.8,0.02,0,17.5,33.8
1950-03-26,61.4,40.8,50.6,0,0,10.3,21.7
1950-03-27,66.5,46,55,0,0,7.1,18.8
1950-03-28,77.4,42.7,59.7,0,0,5.8,14.3
1950-03-29,85,51.4,67.6,0,0,7.3,13.9
1950-03-30,79.4,54.3,66.1,0,0,7.7,17.4
1950-03-31,77,48.6,62.9,0,0,7.8,17
1950-04-01,80.8,50,65.8,0,0,8.2,18.3
1950-04-02,86.7,51.7,68.5,0,0,9.7,20.1
1950-04-03,85.6,53.1,67.9,0,0,9.6,19.7
1950-04-04,79.3,51,65.4,0,0,7.8,19
1950-04-05,72.1,51.7,61.2,0,0,9.8,22.1
1950-04-06,72.1,47.8,60,0,0,9.4,21.9
1950-04-07,64.8,49.6,56.2,0.071,0,12.1,25.7
1950-04-08,60.1,46.2,52.5,0.591,0,14,30.9
1950-04-09,61.3,44.1,51.3,0.055,0,11,24.2
1950-04-10,73.1,41.1,56.9,0,0,10,19.7
1950-04-11,77.1,44.8,60.9,0,0,10.8,21
1950-04-12,77.6,47.2,62.1,0,0,9.7,19.9
1950-04-13,70,48.1,59.3,0,0,9,20.8
1950-04-14,76.9,44.1,60.6,0,0,10.8,24.2
1950-04-15,84.9,49.4,67,0,0,9.6,17.9
1950-04-16,89.3,51.8,70.5,0,0,11,22.1
1950-04-17,90.7,53.9,72.1,0,0,9.7,21
1950-04-18,88.4,53.2,71,0,0,8.2,19.2
1950-04-19,86.8,56,71.3,0,0,8.5,19
1950-04-20,84.2,56.8,69.5,0,0,8.5,19.7
1950-04-21,75.9,55.9,64.3,0,0,8.6,19.7
