Date,Max Temp (°F),Min Temp (°F),Avg Temp (°F),Precipitation (in),Snowfall (in),Max Wind Speed (mph),Max Wind Gust (mph)
1950-01-02,73.1,67.9,70.6,0.012,0,19,29.5
1950-01-03,75.1,70.2,72.4,0.02,0,20.5,32.2
1950-01-04,75.8,71.3,73.6,0.031,0,21.2,32.4
1950-01-05,76.1,71.6,73.7,0.016,0,19.1,30.4
1950-01-06,75.9,71.8,73.7,0.024,0,19.1,31.3
1950-01-07,77.5,70.2,73.2,0.004,0,8.7,15
1950-01-08,71.8,68.1,69.9,0.256,0,27.2,41.4
1950-01-09,73.1,67.9,70.7,0,0,22.7,34
1950-01-10,75.3,71.3,72.7,0,0,18.1,28
1950-01-11,76.2,70.3,72.7,0.043,0,13.6,23.9
1950-01-12,76.5,70.8,73.1,0.008,0,16.7,29.5
1950-01-13,76.5,71.7,73.4,0.008,0,15.9,26.4
1950-01-14,77.5,71.3,73.7,0.043,0,16.1,25.7
1950-01-15,76.5,72.2,73.9,0.012,0,18.2,29.8
1950-01-16,77.3,72.2,74.4,0.004,0,14.1,24.8
1950-01-17,77.1,72.2,74.1,0,0,16.1,26.6
1950-01-18,76.3,71.1,73.2,0.028,0,16,27.7
1950-01-19,76.7,71.7,73.7,0,0,13.3,21.7
1950-01-20,75.1,69.8,72.4,0,0,15.3,23.7
1950-01-21,74.5,68.3,71.5,0.008,0,15.8,25.1
1950-01-22,75.6,70.3,72.5,0.059,0,13,21.7
1950-01-23,76.7,70,72.7,0.035,0,14.5,23
1950-01-24,77,70.3,73.7,0.008,0,16,28.6
1950-01-25,77.6,71.3,74.2,0.075,0,19.3,31.3
1950-01-26,76.8,70.9,73.8,0.02,0,17.9,28.2
1950-01-27,76.2,69,72,0.051,0,13.7,21.9
1950-01-28,74.6,69.5,71.5,0.051,0,12.5,22.4
1950-01-29,76,69.8,72.4,0,0,13.4,21.5
1950-01-30,76.9,70.8,73.1,0,0,15.4,24.4
1950-01-31,76.8,71,73.5,0,0,14.7,23
1950-02-01,78,71.7,74,0.02,0,15.5,24.4
1950-02-02,76.9,71.3,73.6,0.028,0,12.6,21
1950-02-03,76.8,69.5,72.7,0,0,12.8,20.6
1950-02-04,77.7,69.7,73.3,0,0,9.5,17.2
1950-02-05,75,66.5,70.3,0.091,0,20.3,31.8
1950-02-06,72.2,67.7,70.1,0.083,0,17,27.1
1950-02-07,74.2,67.7,70.8,0.051,0,8.2,16.6
1950-02-08,74.9,63.5,69.6,0.016,0,11.3,19.2
1950-02-09,75.3,65.9,70.6,0.012,0,8.7,18.6
1950-02-10,77.3,68.9,72.4,0.012,0,12.7,21
1950-02-11,76.7,67.4,72.4,0.024,0,11.8,21.9
1950-02-12,76.7,69.7,72.3,0.012,0,15.2,25.3
1950-02-13,77,70.2,73.2,0.02,0,15.8,27.7
1950-02-14,77,71.5,73.8,0.004,0,15.4,24.8
1950-02-15,78.4,67.4,72.9,0,0,11.7,17.9
1950-02-16,75.3,63.4,69.2,0,0,13.5,20.8
1950-02-17,71,53.8,62.3,0,0,15.6,23.7
1950-02-18,70.6,57.5,64.3,0,0,13.3,23
1950-02-19,73.9,62,67.6,0.004,0,11.2,15.4
1950-02-20,75.1,58.4,66.6,0,0,14.1,23.3
1950-02-21,74,60.3,68.8,0,0,11.6,20.6
1950-02-22,79.4,70.4,74.1,0.035,0,19.1,30
1950-02-23,79.2,70.1,73.8,0.146,0,17.5,27.5
1950-02-24,77.6,67.9,72.8,0.008,0,7.6,17.9
1950-02-25,77,68.4,71.8,0.122,0,10.9,18.6
1950-02-26,79.3,65,71.5,0,0,8.4,13.9
1950-02-27,76,64.9,69.3,0.004,0,16.5,27.3
1950-02-28,71.3,64.6,67.8,0.055,0,17.5,29.5
1950-03-01,76.2,67.5,71.7,0.024,0,11.8,25.7
1950-03-02,73.5,62.1,68.1,0,0,15.7,26.4
1950-03-03,72.2,60.2,66.3,0,0,12.4,21.3
1950-03-04,78.7,67.7,73.2,0.008,0,14.2,22.4
1950-03-05,79.7,71.1,75.1,0.004,0,12.2,20.8
1950-03-06,79.8,68.4,74.3,0,0,13.2,21
1950-03-07,82.2,69.4,75.4,0,0,12.1,18.3
1950-03-08,82.1,68.9,75.5,0,0,14.6,24.2
1950-03-09,72.9,61.8,67.3,0,0,18.5,29.3
1950-03-10,72.2,62.4,67.5,0,0,16.5,27.3
1950-03-11,74.6,69.6,72.2,0.118,0,18.4,31.5
1950-03-12,79.1,71.5,75,0.031,0,14.8,25.7
1950-03-13,81.5,72.4,76.5,0,0,13.4,23.9
